"id";"restabfall";"datum";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"schadstoff";"del"
"115";"9";"2025-04-25";"";"4,14";"2";"";"";""
"116";"10";"2025-04-26";"3";"5";"";"";"";""
"117";"";"2025-04-27";"";"";"";"";"";""
"118";"1";"2025-04-28";"4";"6";"";"";"";""
"119";"2";"2025-04-29";"5";"7";"";"";"";""
"120";"3";"2025-04-30";"";"8";"3";"";"";""
"121";"";"2025-05-01";"";"";"";"";"";""
"122";"4";"2025-05-02";"";"9";"4";"";"";""
"123";"5";"2025-05-03";"";"13";"5";"";"1";""
"124";"";"2025-05-04";"";"";"";"";"";""
"125";"6";"2025-05-05";"1";"10";"";"";"";""
"126";"7";"2025-05-06";"2";"11";"";"";"";""
"127";"8";"2025-05-07";"";"12,19";"1";"";"";""
"128";"9";"2025-05-08";"";"15";"2";"";"3";""
"129";"10";"2025-05-09";"3";"20";"";"";"";""
"130";"";"2025-05-10";"";"";"";"";"";""
"131";"";"2025-05-11";"";"";"";"";"";""
"132";"1";"2025-05-12";"4";"";"";"";"";""
"133";"2";"2025-05-13";"5";"16";"";"";"";""
"134";"3";"2025-05-14";"";"17";"3";"";"";""
"135";"4";"2025-05-15";"";"18";"4";"";"4";""
"136";"5";"2025-05-16";"";"";"5";"";"";""
"137";"";"2025-05-17";"";"";"";"";"";""
"138";"";"2025-05-18";"";"";"";"";"";""
"139";"6";"2025-05-19";"1";"1";"";"";"";""
"140";"7";"2025-05-20";"2";"2";"";"";"";""
"141";"8";"2025-05-21";"";"3";"1";"";"";""
"142";"9";"2025-05-22";"";"4,14";"2";"";"5";""
"143";"10";"2025-05-23";"3";"5";"";"";"";""
"144";"";"2025-05-24";"";"";"";"";"";""
"145";"";"2025-05-25";"";"";"";"";"";""
"146";"1";"2025-05-26";"4";"6";"";"";"";""
"147";"2";"2025-05-27";"5";"7";"";"";"";""
"148";"3";"2025-05-28";"";"8";"3";"";"";""
"149";"";"2025-05-29";"";"";"";"";"";""
"150";"4";"2025-05-30";"";"9";"4";"";"";""
"151";"5";"2025-05-31";"";"13";"5";"";"";""
"152";"";"2025-06-01";"";"";"";"";"";""
"153";"6";"2025-06-02";"1";"10";"";"";"";""
"154";"7";"2025-06-03";"2";"11";"";"";"";""
"155";"8";"2025-06-04";"";"12,19";"1";"";"";""
"156";"9";"2025-06-05";"";"15";"2";"";"";""
"157";"10";"2025-06-06";"3";"20";"";"";"";""
"158";"";"2025-06-07";"";"";"";"";"1";""
"159";"";"2025-06-08";"";"";"";"";"";""
"160";"";"2025-06-09";"";"";"";"";"";""
"161";"1";"2025-06-10";"4";"";"";"";"";""
"162";"2";"2025-06-11";"5";"16";"";"";"";""
"163";"3";"2025-06-12";"";"17";"3";"";"";""
"164";"4";"2025-06-13";"";"18";"4";"";"";""
"165";"5";"2025-06-14";"";"";"5";"";"";""
"166";"";"2025-06-15";"";"";"";"";"";""
"167";"6";"2025-06-16";"1";"1";"";"";"";""
"168";"7";"2025-06-17";"2";"2";"";"";"";""
"169";"8";"2025-06-18";"";"3";"1";"";"";""
"170";"";"2025-06-19";"";"";"";"";"";""
"171";"9";"2025-06-20";"";"4,14";"2";"";"";""
"172";"10";"2025-06-21";"3";"5";"";"";"";""
"173";"";"2025-06-22";"";"";"";"";"";""
"174";"1";"2025-06-23";"4";"6";"";"";"";""
"175";"2";"2025-06-24";"5";"7";"";"";"";""
"176";"3";"2025-06-25";"";"8";"3";"";"";""
"177";"4";"2025-06-26";"";"9";"4";"";"";""
"178";"5";"2025-06-27";"";"13";"5";"";"";""
"179";"";"2025-06-28";"";"";"";"";"";""
"180";"";"2025-06-29";"";"";"";"";"";""
"181";"6";"2025-06-30";"1";"10";"";"";"";""
"182";"7";"2025-07-01";"2";"11";"";"";"";""
"183";"8";"2025-07-02";"";"12,19";"1";"";"";""
"184";"9";"2025-07-03";"";"15";"2";"";"";""
"185";"10";"2025-07-04";"3";"20";"";"";"";""
"186";"";"2025-07-05";"";"";"";"";"1";""
"187";"";"2025-07-06";"";"";"";"";"";""
"188";"1";"2025-07-07";"4";"";"";"";"";""
"189";"2";"2025-07-08";"5";"16";"";"";"";""
"190";"3";"2025-07-09";"";"17";"3";"";"";""
"191";"4";"2025-07-10";"";"18";"4";"";"";""
"192";"5";"2025-07-11";"";"";"5";"";"";""
"193";"";"2025-07-12";"";"";"";"";"";""
"194";"";"2025-07-13";"";"";"";"";"";""
"195";"6";"2025-07-14";"1";"1";"";"";"";""
"196";"7";"2025-07-15";"2";"2";"";"";"";""
"197";"8";"2025-07-16";"";"3";"1";"";"";""
"198";"9";"2025-07-17";"";"4,14";"2";"";"";""
"199";"10";"2025-07-18";"3";"5";"";"";"";""
"200";"";"2025-07-19";"";"";"";"";"";""
"201";"";"2025-07-20";"";"";"";"";"";""
"202";"1";"2025-07-21";"4";"6";"";"";"";""
"203";"2";"2025-07-22";"5";"7";"";"";"";""
"204";"3";"2025-07-23";"";"8";"3";"";"";""
"205";"4";"2025-07-24";"";"9";"4";"";"";""
"206";"5";"2025-07-25";"";"13";"5";"";"";""
"207";"";"2025-07-26";"";"";"";"";"";""
"208";"";"2025-07-27";"";"";"";"";"";""
"209";"6";"2025-07-28";"1";"10";"";"";"";""
"210";"7";"2025-07-29";"2";"11";"";"";"";""
"211";"8";"2025-07-30";"";"12,19";"1";"";"";""
"212";"9";"2025-07-31";"";"15";"2";"";"";""
