"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"927";"Viktoriastraße";"";"2";"10";"10";"2";"10";"";"47443"
"928";"Vinner Straße";"";"1";"6";"1";"5";"6";"";"47447,47441"
"929";"Vinngrabenstraße";"";"1";"3";"6";"4";"3";"";"47447"
"930";"Vinzenzstraße";"";"2";"6";"17";"5";"6";"";"47441"
"931";"Voßrather Straße";"";"5";"6";"5";"5";"6";"";"47441"
"932";"Wacholderstraße";"";"1";"3";"6";"4";"3";"";"47447"
"933";"Wachtelweg";"";"3";"2";"8";"9";"2";"";"47441"
"934";"Waldenburger Straße";"";"7";"4";"19";"6";"4";"";"47506,47445"
"935";"Waldmeisterstraße";"";"8";"4";"11";"6";"4";"";"47445"
"937";"Waldstraße";"";"1";"3";"2";"3";"3";"";"47447,47506"
"938";"Walpurgisstraße";"";"3";"2";"12";"9";"2";"";"47441"
"939";"Walter-Karentz-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"940";"Walterstraße";"";"5";"6";"5";"5";"6";"";"47441"
"941";"Warndtstraße";"";"9";"7";"16";"7";"7";"";"47443"
"942";"Warthestraße";"";"9";"8";"9";"7";"8";"";"47443"
"943";"Wedenhofstraße";"";"7";"9";"5";"6";"9";"";"47445"
"944";"Wefortstraße";"";"4";"4";"20";"10";"4";"";"47445"
"945";"Wehmstraße";"";"6";"1";"3";"9";"1";"";"47447"
"946";"Weidenweg";"";"1";"2";"1";"4";"2";"";"47447"
"947";"Weißdornweg";"";"1";"2";"1";"4";"2";"";"47447"
"948";"Welfenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"949";"Werdauer Straße";"";"9";"7";"16";"7";"7";"";"47443"
"950";"Wernerstraße";"";"6";"1";"3";"9";"1";"";"47447"
"951";"Werrastraße";"";"9";"8";"9";"7";"8";"";"47443"
"952";"Weserstraße";"";"9";"7";"16";"7";"7";"";"47506,47443"
"953";"Westerbruchstraße";"";"2";"8";"10";"1";"8";"";"47443"
"954";"Wetterstraße";"";"9";"7";"16";"7";"7";"";"47443"
"955";"Weyerstraße";"";"3";"2";"12";"9";"2";"";"47441"
"956";"Weygoldstraße";"";"3";"6";"17";"8";"6";"";"47441"
"957";"Wickenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"958";"Widukindstraße";"";"1";"3";"1";"3";"3";"";"47441"
"959";"Wiedekamp";"";"10";"5";"13";"2";"5";"";"47441"
"960";"Wiedstraße";"";"5";"6";"5";"8";"6";"";"47441"
"961";"Wielandstraße";"";"8";"7";"15";"1";"7";"";"47445"
"962";"Wienbergshof";"";"8";"4";"10";"6";"4";"";"47445"
"963";"Wiesenpfad";"";"6";"2";"1";"1";"5";"1";"47447"
"964";"Wiesenstraße";"";"2";"10";"10";"2";"10";"";"47506,47443"
"965";"Wilfriedstraße";"";"10";"5";"7";"2";"5";"";"47443"
"966";"Wilhelm-Anlahr-Straße";"";"6";"2";"1";"4";"2";"";"47447"
"967";"Wilhelm-Busch-Weg";"";"6";"1";"3";"9";"1";"";"47447"
"968";"Wilhelm-Müller-Straße";"";"5";"6";"4";"5";"6";"";"47441"
"969";"Wilhelm-Schroeder-Straße";"";"3";"6";"17";"8";"6";"";"47441"
"970";"Windmühlenstraße";"";"4";"9";"18";"10";"9";"";"47445"
"971";"Winkelhauser Straße";"";"1";"3";"1";"3";"3";"";"47441"
"972";"Winkelstraße";"";"7";"4";"19";"6";"4";"";"47445"
"974";"Wolfgangstraße";"";"5";"6";"4";"5";"6";"";"47441"
"975";"Wörthstraße";"";"5";"6";"5";"8";"6";"";"47441"
"976";"Wupperstraße";"";"6";"1";"3";"9";"1";"";"47447"
"977";"Xantener Straße";"";"5";"6";"2";"5";"6";"";"47441"
"978";"Xeniastraße";"";"5";"6";"4";"5";"6";"";"47441"
"979";"Zahnstraße";"";"5";"6";"5";"8";"6";"";"47441,47447"
"980";"Zechenstraße";"";"2";"10";"10";"2";"10";"";"47443"
"981";"Zedernweg";"";"1";"3";"6";"4";"3";"";"47447"
"982";"Zeisigweg";"";"3";"2";"8";"9";"2";"";"47506,47441"
"983";"Ziegelstraße";"";"2";"10";"5";"7";"10";"";"47443"
"984";"Ziethenstraße";"";"8";"7";"15";"1";"7";"";"47445"
"985";"Zillestraße";"";"1";"3";"2";"3";"3";"";"47447"
"986";"Zinnastraße";"";"2";"8";"10";"1";"8";"";"47443"
"987";"Zu den Tannen";"";"2";"10";"10";"2";"10";"";"47443"
"988";"Zum Egelsberg";"";"6";"1";"3";"9";"1";"";"47447"
"989";"Zum Flutgraben";"";"3";"2";"12";"9";"2";"";"47441"
"990";"Zum Galgenberg";"";"9";"8";"5";"7";"8";"";"47443"
"991";"Zum Giesenhof";"";"3";"9";"14";"10";"9";"";"47445"
"992";"Zum Illbruckshof";"";"6";"2";"1";"4";"2";"";"47447"
"993";"Zum Peschkensgraben";"";"3";"9";"14";"10";"9";"";"47441"
"994";"Zum Schürmannsgraben";"";"3";"4";"14";"8";"4";"";"47441"
"995";"Zum Ueltgesforthof";"";"3";"2";"12";"9";"2";"";"47441"
"996";"Zur Alten Schmiede";"";"3";"2";"12";"9";"2";"";"47441"
"997";"Zur Ladengasse";"";"7";"9";"5";"6";"9";"";"47445"
"998";"Zur Schwafheimer Heide";"";"1";"3";"2";"3";"3";"";"47447"
"999";"Zwickauer Straße";"";"9";"7";"9";"7";"7";"";"47443"
"1000";"Zwinglistraße";"";"1";"3";"6";"4";"3";"";"47447"
"1001";"Zypressenweg";"";"1";"2";"1";"4";"2";"";"47447"
"1005";"Zum Bollwerk";"";"2";"6";"17";"5";"6";"";"47443"
"1007";"Bindestraße";"";"1";"3";"6";"4";"3";"";"47447"
"1008";"An der Cölve";"";"1";"3";"6";"4";"3";"";"47447"
"1009";"Pfarrer-Ulaga-Straße";"";"2";"8";"9";"7";"8";"";"47443"
"1010";"Heinz-Kremers-Straße";"";"1";"6";"1";"5";"6";"";"47441"
"1011";"Willy-Brandt-Allee";"";"7";"9";"5";"6";"9";"";"47445"
"1012";"Yitzhak-Rabin-Straße";"";"7";"9";"12";"6";"9";"";"47445"
"1013";"Olof-Palme-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"1014";"Ludwig-Erhard-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"1017";"Knappschaftstraße";"";"3";"6";"17";"8";"6";"";"47441"
"1018";"Frieda-Nadig-Straße";"";"10";"5";"13";"2";"5";"";"47441"
"1019";"Helene-Weber-Straße";"";"10";"5";"13";"2";"5";"";"47441"
"1020";"Helene-Wessel-Straße";"";"10";"5";"13";"2";"5";"";"47441"
"1021";"James-Watt-Straße";"";"3";"9";"14";"6";"9";"";"47506"
"1022";"Kerrygoldstraße";"";"3";"9";"14";"6";"9";"";"47506"
"1023";"Merbisstraße";"";"3";"9";"14";"6";"9";"";"47506"
"1026";"Asberger Straße";"Jan56";"5";"1";"4";"5";"6";"1";"47441"
"1027";"Asberger Straße";"59-204";"1";"6";"4";"3";"6";"";"47441"
"1028";"Düsseldorfer Straße";"Jan55";"1";"5";"6";"2";"4";"1";"47441"
"1029";"Düsseldorfer Straße";"95-491";"1";"3";"6";"4";"3";"";"47447"
"1030";"Eickhausweg";"";"3";"9";"14";"6";"9";"";"47506"
"1031";"Homberger Straße";"1-59,2-60";"3";"6";"2";"8";"6";"";"47441"
"1032";"Homberger Straße";"61-109,62-120";"2";"6";"2";"5";"6";"";"47441"
"1033";"Salvienweg";"";"6";"1";"3";"9";"1";"";"47447"
"1034";"Steigerstraße";"Jan20";"8";"2";"19";"3";"3";"1";"47445"
"1035";"Steigerstraße";"75-101a";"8";"7";"15";"1";"7";"";"47445"
"1036";"Wittfeldstraße";"Jan38";"3";"1";"17";"3";"6";"1";"47441"
"1037";"Wittfeldstraße";"49-71";"8";"4";"19";"6";"4";"";"47445"
"1039";"An den Filder Benden";"";"5";"6";"5";"8";"6";"";"47441,47447"
"1040";"Clara-Immerwahr-Straße";"";"5";"6";"1";"5";"6";"";"47441"
"1041";"Edekaplatz";"";"8";"4";"19";"6";"4";"";"47445"
"1042";"Lise-Meitner-Straße";"";"5";"6";"1";"5";"6";"";"47441"
"1043";"Marie-Curie-Straße";"";"5";"6";"1";"5";"6";"";"47441,47447"
"1044";"Am Schlosspark";"";"3";"6";"8";"9";"6";"";"47441"
"1045";"Walter-Leese-Straße";"";"2";"8";"11";"1";"8";"";"47443"
"1046";"Zur Alten Wassermühle";"";"3";"2";"12";"9";"2";"";"47447"
"1047";"Rheinhausener Straße";"";"5";"6";"4";"5";"6";"";"47441"
"1048";"Illbrucksweg";"Nov49";"6";"2";"1";"1";"5";"1";"47447"
"1049";"Illbrucksweg";"51-83";"6";"1";"3";"9";"1";"";"47447"
"1050";"Liebrechtstraße";"77-165";"8";"4";"11";"6";"4";"";"47445"
"1051";"Liebrechtstraße";"Jan71";"8";"2";"11";"5";"3";"1";"47445"
"1052";"Dr.-H.-Boschheidgen-Straße";"";"5";"6";"5";"8";"6";"";"47447,47441"
"1053";"Essenberger Straße";"1-115,2-116";"10";"5";"2";"3";"5";"";"47441"
"1054";"Rheinberger Straße";"103-367,106-310";"8";"2";"19";"3";"3";"1";"47445"
"1055";"Römerstraße";"473-513,478-522";"7";"5";"13";"2";"5";"";"47443"
"1056";"Römerstraße";"523-Ende,526-Ende";"7";"5";"15";"1";"5";"";"47443, 47445"
"1057";"Asberger Straße";"Jan 56";"5";"6";"4";"3";"6";"";"47441"
"1058";"Düsseldorfer Straße";"Jan 55";"1";"3";"6";"4";"3";"";"47441"
"1059";"Illbrucksweg";"Nov 49";"6";"2";"1";"4";"2";"";"47447"
"1060";"Krefelder Straße";"1-97,2-44";"3";"2";"12";"9";"2";"";"47441"
"1061";"Krefelder Straße";"157-Ende,46-Ende";"6";"1";"12";"9";"1";"";"47441"
"1062";"Liebrechtstraße";"Jan 71";"8";"4";"11";"6";"4";"";"47445"
"1063";"Steigerstraße";"Jan 20";"8";"4";"19";"6";"4";"";"47445"
"1064";"Wittfeldstraße";"Jan 38";"3";"6";"17";"8";"6";"";"47441"
