"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"633";"Mainstraße";"";"9";"7";"16";"7";"7";"";"47443"
"634";"Malmedyer Straße";"";"9";"7";"9";"7";"7";"";"47443"
"635";"Malvenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"636";"Marc-Aurel-Straße";"";"10";"6";"4";"3";"6";"";"47441"
"637";"Marderweg";"";"10";"5";"13";"2";"5";"";"47441"
"638";"Margarethenstraße";"";"1";"3";"6";"4";"3";"";"47447"
"639";"Maria-Djuk-Straße";"";"1";"3";"6";"4";"3";"";"47447"
"640";"Maria-Juchacz-Straße";"";"7";"9";"5";"6";"9";"";"47445"
"641";"Marienburger Straße";"";"9";"7";"9";"7";"7";"";"47443"
"642";"Marienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"643";"Markt";"";"4";"9";"20";"10";"9";"";"47445"
"644";"Marktstraße";"";"8";"4";"10";"6";"4";"";"47445"
"645";"Marsweg";"";"2";"8";"11";"1";"8";"";"47443"
"646";"Martin-Luther-Ring";"";"1";"3";"6";"4";"3";"";"47447"
"647";"Martinstraße";"";"5";"6";"4";"5";"6";"";"47441"
"648";"Masurenstraße";"";"8";"4";"10";"6";"4";"";"47445"
"649";"Max-Beckmann-Straße";"";"6";"2";"1";"4";"2";"";"47447"
"650";"Max-Planck-Straße";"";"5";"6";"5";"5";"6";"";"47447"
"651";"Maxstraße";"";"10";"10";"7";"3";"10";"";"47443"
"652";"Meerstraße";"";"3";"6";"8";"9";"6";"";"47441"
"653";"Meisenweg";"";"3";"2";"8";"9";"2";"";"47441"
"654";"Melanchthonstraße";"";"1";"3";"6";"4";"3";"";"47447"
"655";"Melissenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"656";"Memelstraße";"";"8";"4";"10";"6";"4";"";"47445"
"657";"Menzelstraße";"";"1";"3";"2";"4";"3";"";"47447"
"658";"Mercatorstraße";"";"5";"6";"2";"5";"6";"";"47441"
"659";"Merkurweg";"";"2";"8";"11";"1";"8";"";"47443"
"660";"Merlinstraße";"";"2";"8";"11";"1";"8";"";"47443"
"661";"Merowingerstraße";"";"8";"4";"10";"6";"4";"";"47445"
"662";"Meteorstraße";"";"2";"8";"11";"1";"8";"";"47443"
"663";"Mettlacher Straße";"";"9";"7";"16";"7";"7";"";"47443"
"664";"Michael-Ende-Ring";"";"6";"1";"3";"9";"1";"";"47447"
"665";"Mimosenweg";"";"4";"9";"20";"10";"9";"";"47445"
"666";"Mittelstraße";"";"5";"6";"2";"8";"6";"";"47506,47441"
"667";"Moerser Benden";"";"3";"4";"8";"8";"4";"";"47441"
"668";"Moerser Heide";"";"10";"5";"7";"2";"5";"";"47443"
"669";"Moerser Straße";"1-99,2-48";"6";"1";"3";"9";"1";"";"47447"
"670";"Moerser Straße";"115-181,50-108";"6";"1";"1";"4";"1";"";"47447"
"671";"Mollbergstraße";"";"8";"7";"15";"1";"7";"";"47445"
"672";"Moltkestraße";"";"6";"1";"3";"9";"1";"";"47447"
"673";"Mönchsweg";"";"4";"4";"20";"10";"4";"";"47445"
"674";"Mondweg";"";"2";"8";"11";"1";"8";"";"47443"
"675";"Moosweg";"";"2";"10";"10";"2";"10";"";"47443"
"676";"Moritzweg";"";"10";"5";"7";"2";"5";"";"47443"
"677";"Moselstraße";"";"9";"7";"9";"7";"7";"";"47443"
"678";"Möwenweg";"";"3";"2";"8";"9";"2";"";"47441"
"679";"Mozartstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"680";"Mühlenfeldstraße";"";"4";"4";"20";"10";"4";"";"47445"
"681";"Mühlenstraße";"";"3";"4";"8";"8";"4";"";"47506,47441"
"682";"Mühlgrabenweg";"";"7";"9";"5";"6";"9";"";"47445"
"683";"Münchenstraße";"";"5";"6";"4";"5";"6";"";"47441"
"684";"Nachtigallenweg";"";"3";"2";"8";"9";"2";"";"47441"
"685";"Nahestraße";"";"6";"1";"3";"9";"1";"";"47447"
"686";"Narzissenweg";"";"6";"1";"3";"9";"1";"";"47447"
"687";"Neckarstraße";"";"9";"7";"9";"7";"7";"";"47443"
"688";"Nehrunger Weg";"";"7";"9";"10";"6";"9";"";"47445"
"689";"Neißestraße";"";"7";"4";"19";"6";"4";"";"47445"
"690";"Nelkenstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"691";"Neptunweg";"";"2";"8";"11";"1";"8";"";"47443"
"692";"Neuer Wall";"";"3";"6";"8";"8";"6";"";"47441"
"693";"Neukirchener Straße";"";"6";"1";"3";"9";"1";"";"47447"
"694";"Neumarkt";"";"3";"6";"8";"8";"6";"";"47441"
"695";"Neustraße";"";"3";"6";"8";"9";"6";"";"47441"
"696";"Nibelungenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"697";"Niederfeldweg";"";"1";"3";"6";"4";"3";"";"47447"
"699";"Niederstraße";"";"3";"6";"8";"9";"6";"";"47441"
"700";"Nieper Straße";"";"6";"1";"3";"9";"1";"";"47506,47802,47447"
"701";"Niephauser Straße";"";"4";"9";"20";"10";"9";"";"47445"
"703";"Nikolai-Martynenko-Weg";"";"7";"7";"15";"1";"7";"";"47443"
"704";"Nikolaus-Groß-Straße";"";"7";"4";"12";"6";"4";"";"47445"
"705";"Nikolausweg";"";"1";"3";"6";"4";"3";"";"47447"
"706";"Norbertstraße";"";"6";"1";"3";"9";"1";"";"47447"
"707";"Nordring";"";"3";"4";"17";"8";"4";"";"47441"
"708";"Nordstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"709";"Nußbaumweg";"";"1";"2";"1";"4";"2";"";"47447"
"710";"Obere Birk";"";"2";"10";"15";"2";"10";"";"47443"
"711";"Oberwallstraße";"";"3";"6";"8";"9";"6";"";"47441"
"712";"Oderstraße";"";"7";"4";"19";"6";"4";"";"47506,47445"
"713";"Oedenburger Straße";"";"9";"7";"16";"7";"7";"";"47443"
"714";"Oestrumer Straße";"";"1";"3";"1";"3";"3";"";"47441"
"715";"Oleanderweg";"";"4";"9";"20";"10";"9";"";"47445"
"716";"Oppelner Straße";"";"2";"8";"10";"1";"8";"";"47443"
"717";"Orchideenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"718";"Orsoyer Allee";"";"8";"7";"15";"1";"7";"";"47445"
"719";"Ostring";"";"3";"6";"17";"8";"6";"";"47441"
"720";"Oststraße";"";"4";"4";"20";"10";"4";"";"47445"
"721";"Otto-Hue-Straße";"";"3";"6";"17";"8";"6";"";"47441"
"722";"Otto-Lilienthal-Straße";"";"3";"9";"14";"6";"9";"";"47445"
"723";"Otto-Ottsen-Straße";"";"5";"6";"5";"8";"6";"";"47441"
"724";"Ottostraße";"";"10";"10";"7";"3";"10";"";"47443"
"725";"Packertstraße";"";"10";"5";"13";"2";"5";"";"47441"
"726";"Pappelstraße";"";"1";"2";"1";"4";"2";"";"47506,47447"
"727";"Parkstraße";"";"4";"9";"20";"10";"9";"";"47506,47445"
"728";"Parsickstraße";"";"3";"2";"12";"9";"2";"";"47441"
"729";"Pattbergstraße";"";"4";"4";"20";"10";"4";"";"47445"
"730";"Paul-Keller-Straße";"";"4";"9";"20";"10";"9";"";"47445"
"731";"Paul-Schmitthenner-Straße";"";"2";"10";"7";"5";"10";"";"47443"
"732";"Paulstraße";"";"6";"1";"3";"9";"1";"";"47447"
"733";"Pestalozzistraße";"";"8";"4";"19";"6";"4";"";"47445"
