Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
Masurenstraße;8;10;19;6;10;
Max-Beckmann-Straße;10;2;1;5;2;
Max-Planck-Straße;2;3;5;2;3;
Maxstraße;7;6;7;2;6;
Mebisstraße (Neukirchen-Vluyn);4;10;14;3;10;
Meerstraße (*2);3;3;8;3;3;Mi
Meisenweg;3;2;8;3;2;
Melanchthonstraße;1;4;6;3;4;
Melissenstraße;8;10;19;6;10;
Memelstraße;8;10;19;6;10;Do
Menzelstraße;1;4;2;3;4;
Mercatorstraße;3;3;17;2;3;
Merkurweg;5;7;12;4;7;
Merlinstraße;5;7;12;4;7;
Merowingerstraße;8;10;19;6;10;Do
Meteorstraße;5;7;12;4;7;
Mettlacher Straße;9;8;9;1;8;Mo
Michael-Ende-Ring;6;1;3;5;1;Di
Mimosenweg;4;9;20;6;9;
Mittelstraße;3;3;17;3;3;
Moerser Benden;3;2;14;1;2;Fr
Moerser Heide;7;5;13;2;5;
Moerser Straße (*1) von Nr. 1-99 und 2-48;6;1;3;5;1;Di
Moerser Straße (*1) von Nr. 115-181 und 50-108;6;1;1;5;1;Di
Mollbergstraße;8;10;15;4;10;
Moltkestraße;10;1;1;5;1;
Mönchsweg;10;10;20;6;10;
Mondweg;5;7;12;4;7;
Moosweg;5;6;10;4;6;
Moritzweg;7;5;13;2;5;
Moselstraße;9;8;9;1;8;Mo
Möwenweg;3;2;8;3;2;
Mozartstraße;6;1;3;5;1;Di
Mühlenfeldstraße;10;10;20;6;10;Do
Mühlenstraße;3;2;14;1;2;Fr
Mühlgrabenweg;10;9;11;6;9;
Münchenstraße;2;4;4;2;4;Mi
Nachtigallenweg;3;2;8;3;2;
Nahestraße;6;1;3;5;1;
Narzissenweg;6;1;3;5;1;
Neckarstraße;9;8;9;1;8;Mo
Nehrunger Weg;10;9;11;6;9;
Neißestraße;8;10;19;6;10;Mo
Nelkenstraße;6;1;3;5;1;
Neptunweg;5;7;12;4;7;
Neuer Wall (*2);3;3;16;3;3;S2
Neukirchener Straße (*1);6;1;3;5;1;Di
Neumarkt (*2);3;3;8;3;3;S1
Neustraße (*2);3;3;8;3;3;S1
Nibelungenstraße;8;10;19;6;10;
Niederfeldweg;1;2;6;3;2;
Niederstraße (*3);3;3;8;3;3;S2
Nieper Straße;6;1;3;5;1;Di
Niephauser Straße (*1);4;9;18;6;9;Fr
Nikolai-Martynenko-Weg;5;8;15;4;8;
Nikolaus-Groß-Straße;10;9;11;6;9;
Nikolausweg;1;4;6;3;4;
Norbertstraße;6;1;3;5;1;
Nordring;3;2;14;1;2;Fr
Nordstraße;6;1;3;5;1;Di
Nußbaumweg;6;2;1;5;2;
Obere Birk;5;6;13;4;6;Di
Oberwallstraße (*2);3;3;8;3;3;S1
Oderstraße;8;10;19;6;10;Mo
Oedenburger Straße;9;8;9;1;8;Mo
Oestrumer Straße;1;5;4;2;5;Mo
Oleanderweg;4;9;20;6;9;
Olof-Palme-Straße;10;4;11;6;4;Do
Oppelner Straße;5;7;10;4;7;
Orchideenstraße;6;1;3;5;1;Di
Orsoyer Allee (*1);8;10;15;4;10;Do
Ostring;3;3;16;3;3;Mi
Oststraße;10;10;20;6;10;Do
Otto-Hue-Straße;3;3;16;3;3;Mi
Otto-Lilienthal-Straße;4;10;14;3;10;Do
Otto-Ottsen-Straße (*1);2;3;5;2;3;Mi
Ottostraße;7;6;7;2;6;Di
Packertstraße;7;5;13;2;5;Mo
Pappelstraße;6;2;1;5;2;
Parkstraße;4;9;18;6;9;Fr
Parsickstraße;3;2;14;3;2;Fr
Pattbergstraße (*1);10;10;20;6;10;Do
Paul-Keller-Straße;4;9;18;6;9;Fr
Paul-Schmitthenner-Straße;7;6;7;2;6;
Paulstraße;6;1;3;5;1;
Pestalozzistraße;8;10;15;1;10;
Peterstraße;2;3;4;2;3;
Peter-Vischer-Straße;1;4;2;3;4;
Peter-Zimmer-Straße (*1);9;6;7;1;6;Mo
Pfarrer-Ulaga-Straße;9;6;9;1;6;Mo
Pfefferstraße (*3);3;3;8;3;3;S1
Pferdsweide;4;10;14;3;10;Fr
Pinienweg;6;2;1;5;2;
Pirolweg;3;2;8;3;2;Fr
Planetenstraße;5;7;12;4;7;
Platanenweg;6;2;1;5;2;
Plißstraße;10;10;20;6;10;
Plutoring;5;7;12;4;7;
Posener Straße;6;1;3;5;1;
Postillionstraße;4;9;18;6;9;Fr
Prinzenstraße;2;3;8;2;3;Mi
Pusenhof;4;9;18;6;9;Fr
Raiffeisenstraße;4;10;14;3;10;Do
Rathausallee (*1);8;10;11;6;10;Do
Rayer Straße;4;9;18;3;9;
Reichenbachstraße;2;3;5;2;3;
Reichweinstraße;2;3;4;2;3;Mi
Reinhardstraße;2;3;4;2;3;
Reinhold-Büttner-Straße;10;9;11;6;9;Do
Reitweg;10;10;20;6;10;
Rembrandtstraße;1;4;2;3;4;Do
Repelener Straße (*1);3;10;14;1;10;Fr
Rheinberger Straße von Nr. 1-101 und 2-102;3;10;16;3;10;Fr
Rheinberger Straße von Nr. 103-367 und 104-310;8;10;19;1;10;Fr
Rheinberger Straße von Nr. 369-Ende und 312-Ende;10;10;20;6;10;Fr
Rheinhausener Straße ;2;3;4;2;3;Mi
Rheinkamper Straße;10;10;20;6;10;
Rheinlandstraße;10;10;20;6;10;Fr
Rheinpreußenstraße;8;10;15;1;10;Mi
Rheinstraße;6;1;3;5;1;Di
Ricardastraße;6;1;3;5;1;
Richard-Löchel-Straße;4;10;14;3;10;Fr
Richardstraße;4;10;14;3;10;
Richard-Wagner-Straße;6;1;3;5;1;Di
Riesengebirgsstraße;8;10;19;6;10;Mo
Rieserstraße;10;2;14;3;2;
Ringstraße;6;1;3;5;1;Di
Robert-Koch-Straße;6;1;3;5;1;Di
Robertstraße;1;4;4;2;4;Mo
Robinienweg;6;2;1;5;2;
Roderichstraße;7;5;13;2;5;
Römerstraße von Nr.  1-375 und 2-384;1;7;4;3;7;Mo
Römerstraße von Nr. 377-471a und 386-464;7;6;13;2;6;Mo
Römerstraße von Nr. 473-511 und 466-522;5;5;13;4;5;Mo
Römerstraße von Nr. 513-Ende und 524-Ende;5;5;15;4;5;Mo
Rominter Heide;10;9;11;6;9;
Röntgenweg;2;3;5;2;3;
Roseggerstraße;8;10;15;4;10;Do
Rosendahlstraße;6;1;3;5;1;
Rosenstraße;6;1;3;5;1;
Rosmarinweg;8;10;19;6;10;
Rotdornweg;6;2;1;5;2;
Rotkehlchenweg;3;2;8;3;2;Fr
Rubensstraße;1;4;2;3;4;Do
Rudastraße;5;7;10;4;7;
Rudolfstraße;6;1;3;5;1;
Ruhrorter Straße;7;8;4;2;8;
Ruhrstraße;9;8;9;1;8;Mo
Rungestraße;1;4;2;3;4;
Rüsterweg;8;10;19;6;10;
Rüttgersweg;3;2;8;3;2;Fr
Saarbrücker Straße;9;8;9;1;8;Mo
Saarstraße;6;1;3;5;1;
Sachsenstraße;1;5;4;2;5;
Salbeiweg;8;10;19;6;10;
Samlandstraße;10;9;11;6;9;
Sandforter Straße (*1);4;10;14;3;10;Mi
Sandsteinweg;7;5;7;2;5;
Sandstraße;5;6;10;4;6;Di
Saturnring;5;7;12;4;7;
Sauerbruchstraße;6;1;3;5;1;
Schaltbruchweg;10;1;3;5;1;
Schardeyshof;5;7;12;4;7;
Schauenhof;1;4;6;3;4;
Scherpenberger Straße;5;6;10;4;6;Di
Schietenweg;4;10;14;3;10;
Schillerstraße;8;10;15;4;10;Do
Schlägelstraße;9;8;9;1;8;Mo
Schlehenstraße;8;10;19;6;10;
Schmale Straße;7;6;13;2;6;
Schmiedegasse;1;4;6;3;4;
Schöddungstraße;6;1;3;5;1;
Schöllingstraße;5;7;12;4;7;
Scholtenstraße;5;7;12;4;7;
Schopenhauerstraße;2;3;5;2;3;Mi
Schubertstraße;6;1;3;5;1;Di
Schulstraße;6;1;3;5;1;Di
Schulze-Delitzsch-Straße;4;10;14;3;10;Do
Schürkampsweg;10;10;20;6;10;
Schustergasse(*3);3;3;8;3;3;S1
Schwafheimer Weg;10;2;3;5;2;
Schwalbenstraße;3;2;8;3;2;Fr
Schwanenring;3;2;8;3;2;Fr
Schwanstraße;4;9;18;6;9;
Schwarzer Weg;1;4;6;3;4;
Sedanstraße;2;3;5;2;3;
Seeweg;1;4;2;3;4;
Seidelbastweg;8;10;19;6;10;
Seilstraße;9;8;9;1;8;Mo
Seitenstraße;5;6;10;4;6;Di
Selma-Lagerlöf-Straße;6;1;3;5;1;
Seminarstraße;3;3;16;1;3;Mi
Siedweg;1;4;2;2;4;Mo
Siegfriedstraße;5;6;10;4;6;
Siegstraße;9;8;9;1;8;Mo
Siemensweg;2;3;5;2;3;
Silberseeweg;6;1;3;5;1;
Sittardsweg;6;2;1;5;2;
Skirenstraße;8;10;19;6;10;
Sonnenring;5;7;12;4;7;
Sophienstraße;6;1;3;5;1;
Spechtweg;3;2;8;3;2;
Sperberweg;3;2;8;3;2;Fr
Sperlingsweg;3;2;8;3;2;
Spichernstraße;2;3;5;2;3;Fr
Spitzwegstraße;1;4;2;3;4;
Spreestraße;6;1;3;5;1;
Stappfeldstraße;10;10;20;6;10;
Starenweg;3;2;8;3;2;
Staufenstraße;8;10;19;6;10;
Stefanstraße;7;5;13;2;5;
Steigerstraße (*1);8;10;15;1;10;Do
Steinbrückenstraße;10;1;14;5;1;
Steinstraße (*3);3;3;8;3;3;S1
Sternstraße;10;10;20;6;10;Do
Steubenstraße;10;1;1;5;1;
Stoberstraße;5;7;10;4;7;
Stormstraße;4;9;18;6;9;Fr
Stufenweg;1;4;6;3;4;
Südring;2;3;8;2;3;Mi
Südstraße;2;3;4;2;3;Mi
Talstraße;4;9;18;6;9;Fr
Tannenbergstraße;9;6;7;1;6;Mo
Tannenstraße;6;2;1;5;2;
Taubenstraße (*1);5;7;12;4;7;Mo
Taxusweg;10;2;14;3;2;Mi
Tersteegenstraße;3;3;17;2;3;
Tervoorter Waldweg;4;10;14;3;10;
Tervoortstraße;8;10;19;6;10;Do
Teutonenstraße;2;3;4;2;3;
Theodor-Heuss-Straße (*1);10;9;11;6;9;Do
Thomas-Edison-Straße;4;10;14;3;10;Do
Thomas-Igl-Straße;3;2;14;3;2;
Thymianweg;8;10;19;6;10;
Tilsiter Straße;10;9;11;6;9;Fr
Timmermansstraße;4;9;18;6;9;Fr
Tirgrathsfeldweg;6;2;1;5;2;
Titusstraße;7;5;4;2;5;
Tonstraße;7;5;7;2;5;
Torallee;6;2;1;5;2;
Trajanstraße;9;7;9;1;7;Mo
Trakehnenstraße;8;10;19;6;10;Do
Trebnitzer Straße;5;7;10;4;7;
Treibweg;5;6;13;4;6;
Trompeter Straße;1;5;4;2;5;
Tucheler Weg;8;10;19;6;10;
Tulpenstraße;6;1;3;5;1;
Uerdinger Straße (*2);2;3;17;2;3;Mi
Uhlandstraße;8;10;15;4;10;Do
Ulmenstraße;6;2;1;5;2;
Ulrich-von-Hutten-Straße;8;10;15;6;10;
Universumplatz;5;7;12;4;7;
Unter den Erlen;5;6;10;4;6;
Unter den Kiefern;5;6;10;4;6;
Unter den Platanen;10;2;14;3;2;
Unterwallstraße (*3);3;3;8;3;3;S2
Uranusring;5;7;12;4;7;
Van-Endert-Weg;8;10;19;6;10;
Veilchenweg;6;1;3;5;1;
Veit-Stoß-Straße;1;4;2;3;4;Do
Venloer Straße;2;2;14;2;2;
Venusweg;5;7;12;4;7;
Vereinsstraße;1;4;6;3;4;
Verholzerhof;6;1;3;5;1;
Vichter Acker;10;9;11;6;9;
Vierbaumer Weg;10;10;20;6;10;
Viertelsheideweg;6;2;1;5;2;Di
Viktoriastraße;5;6;10;4;6;Di
Vinner Straße (*1);2;3;4;2;3;Mi
Vinngrabenstraße;1;4;6;3;4;
Vinzenzstraße;3;3;16;1;3;Mi
Voßrather Straße;2;3;4;2;3;Di
Wacholderstraße;1;4;6;3;4;
Wachtelweg;3;2;8;3;2;
Waldenburger Straße;8;10;19;6;10;Mo
Waldmeisterstraße;8;10;19;6;10;
Waldstraße (*1);1;4;2;3;4;Do
Walpurgisstraße;10;2;14;3;2;
Walter-Karentz-Straße;6;1;3;5;1;
Walterstraße;2;3;4;2;3;Di
Warndtstraße;9;8;9;1;8;Mo
Warthestraße;9;7;9;1;7;
Wedenhofstraße;10;9;11;6;9;
Wefortstraße;10;10;20;6;10;
Wehmstraße;6;1;3;5;1;
Weidenweg;6;2;1;5;2;
Weißdornweg;6;2;1;5;2;
Welfenstraße;8;10;19;6;10;
Werdauer Straße;9;8;9;1;8;Mo
Wernerstraße;6;1;3;5;1;
Werrastraße;9;7;9;1;7;Mo
Weserstraße;9;8;9;1;8;Mo
Westerbruchstraße;5;7;10;4;7;Mo
Wetterstraße;9;8;9;1;8;Mo
Weyerstraße;10;2;14;3;2;Mi
Weygoldstraße;3;3;16;3;3;Mi
Wickenstraße;6;1;3;5;1;
Widukindstraße;1;5;4;2;5;
Wiedekamp;7;5;13;2;5;
Wiedstraße;2;3;8;2;3;Mi
Wielandstraße;8;10;15;4;10;
Wienbergshof;8;10;19;6;10;Do
Wiesenpfad;6;2;1;5;2;
Wiesenstraße;5;6;10;4;6;Di
Wilfriedstraße;7;5;13;2;5;
Wilhelm-Anlahr-Straße;10;2;1;5;2;
Wilhelm-Busch-Weg;6;1;3;5;1;Di
Wilhelm-Müller-Straße;2;4;4;3;4;Mi
Wilhelm-Schroeder-Straße;3;3;16;3;3;Mi
Willy-Brandt-Allee;10;2;11;6;2;Do
Windmühlenstraße ;4;9;20;6;9;Fr
Winkelhauser Straße (*1);1;5;4;2;5;Mo
Winkelstraße;8;10;19;6;10;
Wittfeldstraße;8;10;15;1;10;Mo
Wolfgangstraße;2;3;4;2;3;
Wörthstraße;2;3;5;2;3;Mi
Wupperstraße;6;1;3;5;1;
Xantener Straße;2;3;17;2;3;Mi
Xeniastraße;7;3;4;2;3;
Yitzhak-Rabin-Straße;4;2;18;3;2;Fr
Zahnstraße;2;3;5;2;3;Fr
Zechenstraße;5;6;10;4;6;Di
Zedernweg;1;4;6;3;4;
Zeisigweg;3;2;8;3;2;
Ziegelstraße;9;6;7;1;6;Mo
Ziethenstraße;8;10;15;4;10;Do
Zillestraße;1;4;2;3;4;Do
Zinnastraße;5;7;10;4;7;
Zu den Tannen (*1);5;6;10;4;6;Di
Zum Bollwerk;3;3;16;1;3;
Zum Egelsberg;6;1;3;5;1;
Zum Flutgraben;3;2;14;3;2;
Zum Galgenberg;9;7;7;4;7;Mo
Zum Giesenhof;4;10;14;3;10;
Zum Illbruckshof;10;2;1;5;2;
Zum Peschkensgraben;4;10;14;3;10;
Zum Schürmannsgraben;4;10;14;3;10;Fr
Zum Ueltgesforthof;3;2;14;3;2;
Zur Alten Schmiede;10;2;14;3;2;
Zur Ladengasse;10;9;11;6;9;Fr
Zur Schwafheimer Heide;1;4;2;3;4;Di
Zwickauer Straße;9;8;9;1;8;Mo
Zwinglistraße;1;4;6;3;4;
Zypressenweg;6;2;1;5;2;
