Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
Birkenstraße;6;2;1;5;2;
Birnenstraße;4;9;18;6;9;
Bismarckstraße;9;8;9;1;8;Mo
Blücherstraße;9;7;12;4;7;Mo
Blumenstraße;2;3;5;2;3;
Boberstraße;8;10;19;6;10;
Böckstraße;4;9;18;6;9;
Bogenstraße;2;3;4;2;3;
Böllerschenweg;10;1;14;5;1;
Boltenschütt;2;2;5;2;2;
Bonifatiusstraße;7;5;4;2;5;Mo
Boschheideweg (*1);6;2;1;5;2;Di
Brahmsstraße;6;1;3;5;1;
Breslauer Straße;9;7;9;1;7;
Breuelstraße;10;10;20;6;10;
Brieger Straße;5;7;10;4;7;
Brinkenhof;4;9;18;6;9;Fr
Bruchstraße;10;2;3;5;2;
Bruckschenweg;3;2;8;3;2;
Brückstraße;10;10;20;6;10;
Brüggerfeldweg;6;2;1;5;2;Di
Brunostraße;3;3;16;1;3;
Bucerstraße;1;4;6;3;4;
Buchenweg;6;2;1;5;2;
Buchmannstraße;9;6;7;1;6;
Budberger Weg;10;10;20;6;10;
Bullermannshof;4;10;14;3;10;Fr
Bunsenweg;2;3;5;2;3;
Bunzlauer Straße;5;7;10;4;7;
Burgstraße (*3);3;3;8;3;3;S1
Burgundenstraße;8;10;19;6;10;Do
Buschmannsweg;6;2;1;5;2;
Buschstraße;8;10;19;6;10;Do
Bussardweg;3;2;8;3;2;
Callunaweg;1;4;6;3;4;
Calvinstraße;1;4;6;3;4;
Carlo-Schmid-Straße (*1);10;9;11;6;9;Do
Carl-Peschken-Straße;4;10;14;3;10;Fr
Carl-von-Ossietzky-Straße;6;1;3;5;1;
Carl-Zeiss-Straße;4;10;14;3;10;Do
Cecilienstraße;5;6;13;2;6;Di
Charlottenstraße;6;1;3;5;1;
Chemnitzer Straße;2;4;4;2;4;Di
Cheruskerstraße;7;5;4;2;5;Mo
Christianstraße;7;5;7;2;5;
Christian-von-Wolff-Weg;2;3;5;2;3;Mi
Christine-Hirschmann-Weg;5;7;12;4;7;
Christine-Teusch-Straße;10;9;11;6;9;
Claudiusstraße;7;5;4;2;5;
Clausthalstraße;3;10;16;1;10;
Cloudtstraße (*1);3;3;16;1;3;Mi
Cranachstraße;1;4;2;3;4;Do
Crusestraße;3;3;16;3;3;
Dachsweg;8;10;15;1;10;
Daheimstraße;1;4;6;3;4;
Dahlienweg;6;1;3;5;1;
Damaschkestraße;7;6;13;2;6;
Danziger Straße;10;9;11;6;9;Fr
Davidstraße;7;5;7;2;5;
Dessauerstraße;8;10;15;4;10;Do
Diergardtstraße;2;3;5;2;3;Fr
Dieselstraße;5;7;12;4;7;
Diesterwegstraße;3;3;16;1;3;Mi
Dietrichstraße;7;6;13;2;6;
Dillschenweg;10;10;20;6;10;
Dohlenstraße;5;7;12;4;7;
Donaustraße;9;8;9;1;8;Mo
Dongrathshof;4;9;18;6;9;Fr
Dongstraße;4;10;14;3;10;
Dorfstraße;1;4;6;3;4;Do
Dorotheenstraße (*1);2;3;4;3;3;Mi
Dorsterfeldstraße;6;1;3;5;1;Di
Dr.-Berns-Straße;4;10;14;3;10;Fr
Dr.-Fabricius-Straße;2;3;5;2;3;
Dr.-Hermann-Bähr-Straße (*3);3;3;8;3;3;S2
Dr.-H.-Boschheidgen-Str. (*1);2;3;5;2;3;Fr
Dr.-Karl-Hirschberg-Straße;2;3;5;2;3;Fr
Drennesweg;4;10;14;3;10;Do
Dresdener Ring;2;4;4;3;4;Mi
Drinhausstraße;6;1;3;5;1;Di
Drosselstraße;4;9;18;6;9;Fr
Droste-Hülshoff-Straße;8;10;15;4;10;
Drususstraße;7;5;4;2;5;Mo
Duisburger Straße;5;6;10;4;6;Di
Düppelstraße;2;3;5;2;3;
Dürerstraße (*1);1;4;2;3;4;Do
Düsseldorfer Straße (*1);1;4;6;3;4;Do
