_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
109;Auf dem Hügel;9;7;7;1;7;
110;Auf der Düne;1;4;2;2;4;
111;Auf der Wehm;6;1;3;6;1;
112;Augustastraße;2;3;17;3;3;
113;August-Macke-Straße;6;1;3;6;1;
114;Averdunkshof;2;3;5;3;3;
115;Azaleenweg;4;9;20;4;9;
116;Baerler Straße;2;3;16;1;3;
117;Baggerstraße;9;10;15;4;10;
118;Bahnenstraße;5;7;12;5;7;
119;Bahnhofstraße;6;1;3;6;1;
120;Bankstraße;2;3;16;3;3;
121;Barbarastraße;9;8;9;1;8;
122;Bataverstraße;8;10;19;5;10;
123;Baudenstraße;8;10;19;5;10;
124;Baumstraße;8;10;19;5;10;
125;Baustraße;2;3;16;1;3;
126;Beckerathsweg;4;10;14;3;10;
127;Beckers Kull;10;9;11;4;9;
128;Beethovenstraße;6;1;3;6;1;
129;Begonienstraße;6;1;3;6;1;
130;Behringweg;2;3;5;3;3;
131;Bendmannstraße;6;1;3;6;1;
132;Bergahornstraße;5;6;13;5;6;
133;Bergheideweg;6;2;1;6;2;
134;Bergheimer Straße;1;4;4;2;4;
135;Bergstraße;7;6;7;2;6;
136;Bergwerkstraße;8;10;15;1;10;
137;Bernhardstraße;6;1;3;6;1;
138;Bernsbergerstraße;9;10;15;4;10;
139;Bernsteinstraße;10;9;11;4;9;
140;Bernsweg;4;9;14;3;9;
141;Bertastraße;4;9;14;3;9;
142;Bert-Brecht-Straße;6;1;3;6;1;
143;Bethanienstraße;3;10;16;3;10;
144;Bettenkamper Weg;6;1;14;6;1;
145;Beuthener Straße;9;8;9;1;8;
146;Billstraße;10;10;20;4;10;
147;Birkenpaschhof;3;2;14;3;2;
148;Birkenstraße;6;2;1;6;2;
149;Birnenstraße;4;9;18;4;9;
150;Bismarckstraße;9;8;9;1;8;
151;Blücherstraße;9;7;12;5;7;
152;Blumenstraße;2;3;5;3;3;
153;Boberstraße;8;10;19;5;10;
154;Böckstraße;4;9;18;4;9;
155;Bogenstraße;2;3;4;3;3;
156;Böllerschenweg;3;1;14;6;1;
157;Boltenschütt;6;3;5;3;3;
158;Bonifatiusstraße;7;5;4;2;5;
159;Boschheideweg;6;2;1;6;2;
