_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
645;Marsweg;5;7;12;5;7;
646;Martin-Luther-Ring;1;4;6;2;4;
647;Martinstraße;2;3;4;2;3;
648;Masurenstraße;8;10;19;5;10;
649;Max-Beckmann-Straße;6;2;1;6;2;
650;Max-Planck-Straße;2;3;5;3;3;
651;Maxstraße;7;6;7;2;6;
652;Meerstraße;3;3;8;3;3;
653;Meisenweg;3;2;8;3;2;
654;Melanchthonstraße;1;4;6;2;4;
655;Melissenstraße;8;10;19;5;10;
656;Memelstraße;8;10;19;5;10;
657;Menzelstraße;1;4;2;2;4;
658;Mercatorstraße;2;3;17;3;3;
659;Merkurweg;5;7;12;5;7;
660;Merlinstraße;5;7;12;5;7;
661;Merowingerstraße;8;10;19;5;10;
662;Meteorstraße;5;7;12;5;7;
663;Mettlacher Straße;9;8;9;1;8;
664;Michael-Ende-Ring;6;1;3;6;1;
665;Mimosenweg;4;9;20;4;9;
666;Mittelstraße;2;3;17;3;3;
667;Moerser Benden;3;2;14;1;2;
668;Moerser Heide;7;5;13;2;5;
669;Moerser Straße (1-99, 2-48);6;1;3;6;1;
670;Moerser Straße (115-181, 50-100);6;1;1;6;1;
671;Mollbergstraße;8;8;15;5;8;
672;Moltkestraße;6;1;1;6;1;
673;Mönchsweg;10;10;20;4;10;
674;Mondweg;5;7;12;5;7;
675;Moosweg;5;6;10;5;6;
676;Moritzweg;7;5;13;2;5;
677;Moselstraße;9;8;9;1;8;
678;Möwenweg;3;2;8;3;2;
679;Mozartstraße;6;1;3;6;1;
680;Mühlenfeldstraße;10;10;20;4;10;
681;Mühlenstraße;3;2;14;1;2;
682;Mühlgrabenweg;10;9;11;4;9;
683;Münchenstraße;2;3;4;3;3;
684;Nachtigallenweg;3;2;8;3;2;
685;Nahestraße;6;1;3;6;1;
686;Narzissenweg;6;1;3;6;1;
687;Neckarstraße;9;8;9;1;8;
688;Nehrunger Weg;10;9;11;4;9;
689;Neißestraße;8;10;19;5;10;
690;Nelkenstraße;6;1;3;6;1;
691;Neptunweg;5;7;12;5;7;
692;Neuer Wall;3;3;16;3;3;
693;Neukirchener Straße;6;1;3;6;1;
694;Neumarkt;3;3;8;3;3;
695;Neustraße;3;3;8;3;3;
696;Nibelungenstraße;8;10;19;5;10;
697;Niederfeldweg;1;4;6;2;4;
699;Niederstraße;3;3;8;3;3;
700;Nieper Straße;6;1;3;6;1;
701;Niephauser Straße;4;9;18;4;9;
703;Nikolai-Martynenko-Weg;9;8;15;5;8;
704;Nikolaus-Groß-Straße;10;9;11;4;9;
705;Nikolausweg;1;4;6;2;4;
706;Norbertstraße;6;1;3;6;1;
707;Nordring;3;2;14;1;2;
708;Nordstraße;6;1;3;6;1;
709;Nußbaumweg;6;2;1;6;2;
710;Obere Birk;5;6;13;5;6;
711;Oberwallstraße;3;3;8;3;3;
712;Oderstraße;10;10;19;5;10;
713;Oedenburger Straße;9;8;9;1;8;
714;Oestrumer Straße;1;5;4;2;5;
715;Oleanderweg;4;9;20;4;9;
716;Oppelner Straße;5;7;10;5;7;
717;Orchideenstraße;6;1;3;6;1;
718;Orsoyer Allee;8;8;15;5;8;
719;Ostring;2;3;16;3;3;
720;Oststraße;10;10;20;4;10;
721;Otto-Hue-Straße;2;3;16;3;3;
722;Otto-Lilienthal-Straße;4;9;14;3;9;
723;Otto-Ottsen-Straße;2;3;5;3;3;
724;Ottostraße;7;6;7;2;6;
725;Packertstraße;7;5;13;2;5;
726;Pappelstraße;6;2;1;6;2;
727;Parkstraße;4;9;18;4;9;
728;Parsickstraße;3;2;14;3;2;
729;Pattbergstraße;10;10;20;4;10;
730;Paul-Keller-Straße;4;9;18;4;9;
731;Paul-Schmitthenner-Straße;7;6;7;2;6;
732;Paulstraße;6;1;3;6;1;
733;Pestalozzistraße;8;10;15;1;10;
734;Peterstraße;2;3;4;3;3;
735;Peter-Vischer-Straße;1;4;2;2;4;
736;Peter-Zimmer-Straße;9;6;7;1;6;
737;Pfefferstraße;3;3;8;3;3;
738;Pferdsweide;3;10;14;3;10;
739;Pinienweg;6;2;1;6;2;
740;Pirolweg;3;2;8;3;2;
741;Planetenstraße;5;7;12;5;7;
742;Platanenweg;6;2;1;6;2;
743;Plißstraße;10;10;20;4;10;
744;Plutoring;5;7;12;5;7;
745;Posener Straße;6;1;3;6;1;
746;Postillionstraße;4;9;18;4;9;
747;Prinzenstraße;2;3;8;3;3;
748;Pusenhof;4;9;18;4;9;
749;Pusenweg (in 2011 gestrichen);0;0;0;0;0;1
750;Raiffeisenstraße;4;9;14;3;9;
751;Rathausallee;8;10;11;5;10;
753;Rayer Straße;4;9;18;3;9;
754;Reichenbachstraße;2;3;5;3;3;
755;Reichweinstraße;2;3;4;3;3;
756;Reinhardstraße;2;3;4;3;3;
757;Reinhold-Büttner-Straße;10;9;11;4;9;
758;Reitweg;6;10;20;4;10;
759;Rembrandtstraße;1;4;2;2;4;
760;Repelener Straße;3;2;14;1;2;
762;Rheinberger Straße (1-101, 2-104);3;10;16;3;10;
763;Rheinberger Straße (103-367,106-310);8;10;19;1;10;
765;Rheinberger Straße (369-Ende, 312-Ende);10;10;20;4;10;
767;Rheinkamper Straße;10;10;20;4;10;
768;Rheinlandstraße;10;10;20;4;10;
769;Rheinpreußenstraße;8;10;15;1;10;
770;Rheinstraße;6;1;3;6;1;
771;Ricardastraße;6;1;3;6;1;
772;Richard-Löchel-Straße;3;10;14;3;10;
773;Richardstraße;4;9;14;3;9;
774;Richard-Wagner-Straße;6;1;3;6;1;
775;Riesengebirgsstraße;8;10;19;5;10;
776;Rieserstraße;3;2;14;3;2;
777;Ringstraße;6;1;3;6;1;
778;Robert-Koch-Straße;6;1;3;6;1;
779;Robertstraße;1;4;4;2;4;
780;Robinienweg;6;2;1;6;2;
781;Roderichstraße;7;5;13;2;5;
782;Römerstraße (1-375, 2-384);1;5;4;2;5;
783;Römerstraße (377-471a, 386-464);7;5;13;2;5;
784;Römerstraße (473-511, 466-522);7;5;13;5;5;
785;Römerstraße (513-629, 524-630);9;5;15;5;5;
788;Römerstraße (631-695, 632-706);9;5;15;5;5;
789;Rominter Heide;10;9;11;4;9;
790;Röntgenweg;2;3;5;3;3;
791;Roseggerstraße;8;8;15;5;8;
792;Rosendahlstraße;6;1;3;6;1;
793;Rosenstraße;6;1;3;6;1;
794;Rosmarinweg;8;10;19;5;10;
795;Rotdornweg;6;2;1;6;2;
796;Rotkehlchenweg;3;2;8;3;2;
797;Rubensstraße;1;4;2;2;4;
798;Rudastraße;5;7;10;5;7;
799;Rudolfstraße;6;1;3;6;1;
800;Ruhrorter Straße;2;3;4;3;3;
801;Ruhrstraße;9;8;9;1;8;
802;Rungestraße;1;4;2;2;4;
803;Rüsterweg;8;10;19;5;10;
804;Rüttgersweg;3;2;8;3;2;
805;Saarbrücker Straße;9;8;9;1;8;
806;Saarstraße;6;1;3;6;1;
807;Sachsenstraße;1;5;4;2;5;
808;Salbeiweg;8;10;19;5;10;
810;Samlandstraße;10;9;11;4;9;
811;Sandforter Straße;4;9;14;3;9;
812;Sandsteinweg;7;5;7;2;5;
813;Sandstraße;5;6;10;5;6;
814;Saturnring;5;7;12;5;7;
815;Sauerbruchstraße;6;1;3;6;1;
816;Schaltbruchweg;6;1;3;6;1;
817;Schardeyshof;5;7;12;5;7;
818;Schauenhof;1;4;6;2;4;
819;Scherpenberger Straße;5;6;10;5;6;
820;Schietenweg;4;9;14;3;9;
821;Schillerstraße;8;8;15;5;8;
822;Schlägelstraße;9;8;9;1;8;
823;Schlehenstraße;8;10;19;5;10;
824;Schmale Straße;7;6;13;2;6;
825;Schmiedegasse;1;4;6;2;4;
826;Schöddungstraße;6;1;3;6;1;
827;Schöllingstraße;5;7;12;5;7;
828;Scholtenstraße;5;7;12;5;7;
829;Schopenhauerstraße;2;3;5;3;3;
830;Schubertstraße;6;1;3;6;1;
831;Schulstraße;6;1;3;6;1;
832;Schulze-Delitzsch-Straße;4;9;14;3;9;
833;Schürkampsweg;10;10;20;4;10;
834;Schustergasse;3;3;8;3;3;
835;Schwafheimer Weg;6;2;3;6;2;
836;Schwalbenstraße;3;2;8;3;2;
837;Schwanenring;3;2;8;3;2;
838;Schwanstraße;4;9;18;4;9;
839;Schwarzer Weg;1;4;6;2;4;
840;Sedanstraße;2;3;5;3;3;
841;Seeweg;1;4;2;2;4;
842;Seidelbastweg;8;10;19;5;10;
843;Seilstraße;9;8;9;1;8;
844;Seitenstraße;5;6;10;5;6;
845;Selma-Lagerlöf-Straße;6;1;3;6;1;
846;Seminarstraße;2;3;16;1;3;
847;Siedweg;1;4;2;2;4;
849;Siegfriedstraße;5;6;10;5;6;
850;Siegstraße;9;8;9;1;8;
851;Siemensweg;2;3;5;3;3;
852;Silberseeweg;6;1;3;6;1;
853;Sittardsweg;6;2;1;6;2;
854;Skirenstraße;8;10;19;5;10;
855;Sonnenring;5;7;12;5;7;
856;Sophienstraße;6;1;3;6;1;
857;Spechtweg;3;2;8;3;2;
858;Sperberweg;3;2;8;3;2;
859;Sperlingsweg;3;2;8;3;2;
860;Spichernstraße;2;3;5;3;3;
861;Spitzwegstraße;1;4;2;2;4;
862;Spreestraße;6;1;3;6;1;
863;Stappfeldstraße;10;10;20;4;10;
864;Starenweg;3;2;8;3;2;
865;Staufenstraße;8;10;19;5;10;
866;Stefanstraße;7;5;13;2;5;
867;Steigerstraße;0;0;0;0;0;1
868;Steinbrückenstraße;3;1;14;6;1;
869;Steinstraße;3;3;8;3;3;
870;Sternstraße;10;10;20;4;10;
871;Steubenstraße;6;1;1;6;1;
872;Stoberstraße;5;7;10;5;7;
873;Stormstraße;4;9;18;4;9;
874;Stufenweg;1;4;6;2;4;
875;Südring;2;3;8;3;3;
876;Südstraße;2;3;4;3;3;
877;Talstraße;4;9;18;4;9;
878;Tannenbergstraße;9;6;7;1;6;
879;Tannenstraße;6;2;1;6;2;
880;Taubenstraße;5;7;12;5;7;
881;Taxusweg;3;2;14;3;2;
882;Tersteegenstraße;2;3;17;3;3;
883;Tervoorter Waldweg;3;10;14;3;10;
884;Tervoortstraße;8;10;19;5;10;
885;Teutonenstraße;2;3;4;3;3;
886;Theodor-Heuss-Straße;10;9;11;4;9;
887;Thomas-Edison-Straße;4;9;14;3;9;
888;Thomas-Igl-Straße;3;2;14;3;2;
889;Thymianweg;8;10;19;5;10;
890;Tilsiter Straße;10;9;11;4;9;
891;Timmermansstraße;4;9;18;4;9;
892;Tirgrathsfeldweg;6;2;1;6;2;
893;Titusstraße;7;5;4;2;5;
894;Tonstraße;7;5;7;2;5;
895;Torallee;6;2;1;6;2;
896;Trajanstraße;9;7;9;1;7;
897;Trakehnenstraße;8;10;19;5;10;
898;Trebnitzer Straße;5;7;10;5;7;
899;Treibweg;5;6;13;5;6;
901;Trompeter Straße;1;5;4;2;5;
902;Tucheler Weg;8;10;19;4;10;
903;Tulpenstraße;6;1;3;6;1;
904;Uerdinger Straße (Nr. 1-29 und 2-44);2;3;17;3;3;
905;Uerdinger Straße (Nr. 31-133 und 46-138);2;3;17;3;3;
906;Uhlandstraße;8;8;15;5;8;
907;Ulmenstraße;6;2;1;6;2;
908;Ulrich-von-Hutten-Straße;8;8;15;5;8;
909;Universumplatz;5;7;12;5;7;
910;Unter den Erlen;5;6;10;5;6;
911;Unter den Kiefern;5;6;10;5;6;
912;Unter den Platanen;3;2;14;3;2;
913;Unterwallstraße;3;3;8;3;3;
914;Uranusring;5;7;12;5;7;
915;Van-Endert-Weg;8;10;19;5;10;
916;Veilchenweg;6;1;3;6;1;
917;Veit-Stoß-Straße;1;4;2;2;4;
918;Venloer Straße;2;2;14;3;2;
920;Venusweg;5;7;12;5;7;
921;Vereinsstraße;1;4;6;2;4;
922;Verholzerhof;6;1;3;6;1;
923;Vichter Acker;10;9;11;4;9;
924;Vierbaumer Weg;10;10;20;4;10;
926;Viertelsheideweg;6;2;1;6;2;
927;Viktoriastraße;5;6;10;5;6;
928;Vinner Straße;2;3;4;3;3;
929;Vinngrabenstraße;1;4;6;2;4;
930;Vinzenzstraße;2;3;16;1;3;
931;Voßrather Straße;2;3;4;3;3;
932;Wacholderstraße;1;4;6;2;4;
933;Wachtelweg;3;2;8;3;2;
934;Waldenburger Straße;8;10;19;5;10;
935;Waldmeisterstraße;8;10;19;5;10;
936;Waldsee;0;0;0;0;0;
937;Waldstraße;1;4;2;2;4;
938;Walpurgisstraße;3;2;14;3;2;
939;Walter-Karentz-Straße;6;1;3;6;1;
940;Walterstraße;2;3;4;3;3;
941;Warndtstraße;9;8;9;1;8;
942;Warthestraße;9;7;9;1;7;
943;Wedenhofstraße;10;9;11;4;9;
944;Wefortstraße;10;10;20;4;10;
945;Wehmstraße;6;1;3;6;1;
946;Weidenweg;6;2;1;6;2;
947;Weißdornweg;6;2;1;6;2;
948;Welfenstraße;8;10;19;5;10;
949;Werdauer Straße;9;8;9;1;8;
950;Wernerstraße;6;1;3;6;1;
951;Werrastraße;9;7;9;1;7;
952;Weserstraße;9;8;9;1;8;
953;Westerbruchstraße;5;7;10;5;7;
954;Wetterstraße;9;8;9;1;8;
955;Weyerstraße;3;2;14;3;2;
956;Weygoldstraße;2;3;16;3;3;
957;Wickenstraße;6;1;3;6;1;
958;Widukindstraße;1;5;4;2;5;
959;Wiedekamp;7;5;13;2;5;
960;Wiedstraße;2;3;8;3;3;
961;Wielandstraße;8;8;15;5;8;
962;Wienbergshof;8;10;19;5;10;
963;Wiesenpfad;6;2;1;6;2;
964;Wiesenstraße;5;6;10;5;6;
965;Wilfriedstraße;7;5;13;2;5;
966;Wilhelm-Anlahr-Straße;6;2;1;6;2;
967;Wilhelm-Busch-Weg;6;1;3;6;1;
968;Wilhelm-Müller-Straße;2;4;4;2;4;
969;Wilhelm-Schroeder-Straße;2;3;16;3;3;
970;Windmühlenstraße;4;9;20;4;9;
971;Winkelhauser Straße;1;5;4;2;5;
972;Winkelstraße;8;10;19;5;10;
973;Wittfeldstraße;0;0;0;0;0;1
974;Wolfgangstraße;7;3;4;3;3;
975;Wörthstraße;2;3;5;3;3;
976;Wupperstraße;6;1;3;6;1;
977;Xantener Straße;2;3;17;2;3;
978;Xeniastraße;2;3;4;2;3;
979;Zahnstraße;2;3;5;3;3;
980;Zechenstraße;5;6;10;5;6;
981;Zedernweg;1;4;6;2;4;
982;Zeisigweg;3;2;8;3;2;
983;Ziegelstraße;9;6;7;1;6;
984;Ziethenstraße;8;8;15;5;8;
985;Zillestraße;1;4;2;2;4;
986;Zinnastraße;5;7;10;5;7;
987;Zu den Tannen;5;6;10;5;6;
988;Zum Egelsberg;6;1;3;6;1;
989;Zum Flutgraben;3;2;14;3;2;
990;Zum Galgenberg;9;7;7;5;7;
991;Zum Giesenhof;4;9;14;3;9;
992;Zum Illbruckshof;6;2;1;6;2;
993;Zum Peschkensgraben;4;9;14;3;9;
994;Zum Schürmannsgraben;3;10;14;3;10;
995;Zum Ueltgesforthof;3;2;14;3;2;
996;Zur Alten Schmiede;3;2;14;3;2;
997;Zur Ladengasse;10;9;11;4;9;
998;Zur Schwafheimer Heide;1;4;2;2;4;
999;Zwickauer Straße;9;8;9;1;8;
1000;Zwinglistraße;1;4;6;2;4;
1001;Zypressenweg;6;2;1;6;2;
1004;Römerstraße (697-Ende, 708-Ende);9;5;15;5;5;
1005;Zum Bollwerk;2;3;16;1;3;
1007;Bindestraße;1;4;6;2;4;
1008;An der Cölve;1;4;6;2;4;
1009;Pfarrer-Ulaga-Straße;9;6;9;1;6;
1010;Heinz-Kremers-Straße;2;3;4;3;3;
1011;Willy-Brandt-Allee;10;9;11;4;9;
1012;Yitzhak-Rabin-Straße;10;9;18;3;9;
1013;Olof-Palme-Straße;10;9;11;4;9;
1014;Ludwig-Erhard-Straße;10;9;11;4;9;
1015;Essenberger Straße (Nr. 1-9 und 2-8);7;5;17;2;5;
1016;Essenberger Straße (Nr. 9a-115 und 10-116);7;5;17;2;5;
1017;Knappschaftstraße;2;3;16;3;3;
1018;Frieda-Nadig-Straße;7;5;13;2;5;
1019;Helene-Weber-Straße;7;5;13;2;5;
1020;Helene-Wessel-Straße;7;5;13;2;5;
1021;James-Watt-Straße (Neukirchen-Vluyn);4;9;14;3;9;
1022;Kerrygoldstraße  (Neukirchen-Vluyn);4;9;14;3;9;
1023;Merbisstraße  (Neukirchen-Vluyn);4;9;14;3;9;
1024;Rheinhausener Straße (1-17 und 2-22);2;3;4;3;3;0
1025;Rheinhausener Straße (19- 67a und 26-58);2;3;4;3;3;1
766;Rheinhausener Straße (entfällt 2017);0;0;0;0;0;1
1026;Asberger Straße (1-56);2;3;4;2;3;
1027;Asberger Straße (59-204);7;3;4;2;3;
1028;Düsseldorfer Straße (1-55);2;4;6;2;4;
1029;Düsseldorfer Straße (95-491);1;4;6;2;4;
1030;Eickhausweg (Neukirchen-Vluyn);4;9;14;3;9;
1031;Homberger Straße (Nr. 1-59, 2-60);2;6;17;3;6;
1032;Homberger Straße (Nr. 61-109, 62-120);7;6;17;3;6;
1033;Salvienweg;6;1;3;6;1;
1034;Steigerstraße (Nr. 1-20);8;8;15;1;8;
1035;Steigerstraße (Nr. 75-101a);8;8;15;5;8;
1036;Wittfeldstraße (Nr. 1-38);2;3;15;1;3;
1037;Wittfeldstraße (Nr. 49-71);8;3;15;1;3;
1039;An den Filder Benden;2;3;5;3;3;
1040;Clara-Immerwahr-Straße;2;3;4;3;3;
1041;Edekaplatz;8;10;19;1;10;
1042;Lise-Meitner-Straße;2;3;4;3;3;
1043;Marie-Curie-Straße;2;3;4;3;3;
